町丁目,総世帯数,総人口,総男,総女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
方南一丁目,5092,8177,4222,3955,28,22,34,31,30,28,25,24,31,32,38,35,34,29,33,24,24,21,23,24,26,26,22,26,20,28,28,20,23,27,23,20,15,28,27,24,30,25,34,38,35,34,35,34,54,52,80,64,115,59,97,72,90,75,100,82,120,75,96,78,87,66,77,70,81,78,78,78,88,68,102,73,83,77,83,63,70,68,82,66,76,61,55,59,62,58,68,67,71,50,56,68,70,56,66,62,66,66,68,60,49,65,75,54,67,52,50,59,67,55,63,47,42,28,45,58,38,40,39,43,46,30,36,31,36,35,25,25,26,33,31,38,28,31,29,25,32,27,34,51,33,36,40,23,31,39,47,42,37,41,32,32,26,28,20,26,29,34,22,25,23,34,19,29,21,24,15,23,17,18,14,21,14,22,14,32,11,16,11,14,6,15,3,19,7,13,2,12,5,13,0,9,2,3,1,3,2,4,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南二丁目,3114,5228,2485,2743,25,29,31,27,27,25,33,35,20,20,18,20,12,24,20,18,19,10,16,17,15,13,13,10,15,15,12,12,18,13,17,15,22,16,6,14,11,12,14,7,15,20,14,13,27,21,23,42,29,32,40,43,33,42,46,40,41,55,43,49,41,51,46,46,46,44,38,50,57,39,56,42,45,51,48,47,53,56,53,50,56,46,49,44,41,49,36,49,45,36,36,46,40,42,58,43,35,46,47,40,31,53,42,45,42,40,43,43,22,37,25,33,30,27,30,29,27,33,26,28,22,25,29,28,20,30,24,16,19,32,27,24,26,27,21,24,29,31,19,28,19,27,26,28,25,27,27,41,27,29,20,30,24,15,20,15,15,20,13,28,10,25,12,17,11,23,8,17,11,24,15,12,5,15,9,23,7,10,5,12,3,17,4,0,6,10,3,4,4,2,0,6,0,2,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉一丁目,3903,5789,2911,2878,16,10,17,15,12,18,16,10,14,12,11,13,13,15,20,13,15,26,12,13,18,11,11,14,10,10,11,6,12,16,12,10,4,5,12,13,15,18,25,18,27,33,26,35,46,41,58,51,65,76,73,57,80,83,80,81,77,75,86,79,59,69,50,59,59,68,75,52,71,52,65,59,65,48,48,43,51,47,50,49,51,51,41,40,60,50,51,50,51,42,42,33,51,40,56,40,52,44,47,30,49,39,33,36,37,35,35,33,43,31,30,30,15,24,32,40,35,31,33,26,34,37,28,27,22,29,37,21,18,16,24,17,22,24,32,27,18,21,19,22,21,29,20,24,32,28,22,21,23,32,21,27,13,18,17,15,23,30,17,9,17,22,12,18,9,15,4,20,14,10,5,22,10,18,7,14,11,22,3,16,8,8,3,8,2,8,4,4,3,9,1,7,0,5,2,3,0,3,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉二丁目,4314,7465,3760,3705,29,25,29,21,33,33,23,33,35,19,31,31,24,31,25,37,32,33,26,21,29,31,33,30,22,23,24,29,27,31,25,27,30,23,19,19,24,27,32,37,35,35,50,58,79,42,81,54,90,63,86,67,75,50,79,63,78,69,70,60,67,55,55,44,63,59,58,50,75,49,52,54,72,64,59,55,64,56,61,64,64,57,46,60,66,60,75,59,60,57,67,55,61,49,60,59,56,58,53,59,53,70,49,50,58,54,46,60,67,55,59,54,36,38,45,41,53,36,42,36,37,40,43,37,31,35,37,30,29,25,30,32,27,35,27,30,23,29,23,24,24,31,21,24,26,41,39,35,29,55,37,47,22,28,20,24,28,24,28,31,33,28,14,37,18,27,11,20,7,24,13,23,6,16,11,15,12,22,9,15,6,13,4,14,5,11,5,8,4,13,1,8,1,5,1,2,1,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉三丁目,3740,6510,3043,3467,24,16,19,29,18,18,21,28,23,21,22,22,18,31,28,21,16,21,25,18,31,13,19,25,19,16,23,26,18,10,25,17,16,18,23,17,19,24,33,24,28,30,43,35,43,35,41,65,37,52,49,63,61,65,51,73,46,69,54,68,45,66,48,52,42,62,44,52,40,49,50,54,50,59,53,56,51,53,44,63,47,42,56,55,63,53,37,52,40,52,53,51,46,41,53,52,59,55,52,59,44,63,41,49,49,48,52,52,52,58,48,49,28,43,47,52,52,43,40,41,41,40,35,43,28,37,34,26,28,37,32,30,29,32,28,31,26,27,34,34,29,24,23,34,26,36,34,28,32,32,37,35,19,32,17,29,20,32,23,33,21,27,9,23,14,11,19,19,13,15,16,15,6,17,10,19,10,16,6,10,7,18,7,12,4,14,4,9,0,8,1,12,0,6,1,6,1,3,0,3,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉四丁目,4809,8590,4176,4414,27,28,29,23,38,34,33,35,41,35,48,26,41,36,30,33,37,35,44,33,27,35,40,39,27,30,28,32,33,16,25,27,23,28,30,25,20,20,28,31,33,31,34,28,43,44,51,52,60,41,61,52,70,48,75,66,70,59,81,82,67,69,66,61,53,58,71,67,73,66,59,82,67,72,69,62,78,67,73,79,69,74,89,67,70,82,75,73,81,79,72,71,73,88,69,71,72,68,72,69,73,66,66,67,58,63,50,67,77,61,57,48,33,43,59,52,44,52,47,48,37,47,42,48,41,49,44,43,50,49,30,39,29,43,29,42,37,37,35,50,41,32,42,46,44,36,52,57,40,46,41,52,16,27,27,40,32,45,32,44,27,47,27,51,22,35,21,26,19,21,7,33,23,39,16,28,11,17,16,30,4,30,7,16,5,15,5,9,6,10,1,11,6,7,0,8,0,4,2,3,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸一丁目,3293,4552,2171,2381,13,12,10,12,13,9,11,6,8,10,10,8,7,8,16,8,4,7,8,9,8,11,7,4,4,4,8,8,9,10,0,8,5,6,3,9,15,26,20,21,19,26,28,42,34,47,49,45,57,78,60,82,58,73,61,66,68,51,63,59,43,71,45,59,56,54,37,34,40,40,43,42,38,38,50,41,41,32,28,23,38,41,32,36,37,34,52,38,32,27,36,30,24,28,46,39,45,38,35,26,26,32,27,23,30,23,32,37,26,34,32,15,25,24,27,29,21,26,12,26,19,19,18,21,24,21,17,25,20,19,17,22,15,22,13,23,10,15,22,24,13,23,21,17,26,23,28,28,19,20,17,15,10,17,14,15,10,17,14,18,12,16,7,16,12,10,8,17,8,20,9,13,7,12,6,14,4,8,5,10,5,4,4,5,0,7,3,3,1,3,0,4,0,3,1,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸二丁目,1946,2997,1457,1540,5,7,4,12,8,5,5,6,15,10,10,4,9,4,3,10,14,7,6,7,9,6,11,4,8,7,7,10,7,7,13,7,4,8,8,9,16,13,11,10,16,9,19,18,18,27,22,29,29,27,30,40,39,23,34,29,25,31,20,27,23,21,28,27,13,26,31,22,23,25,17,25,28,18,29,28,25,23,27,21,28,25,25,25,29,32,24,22,10,31,26,27,15,19,19,22,21,29,36,24,26,19,18,22,29,17,21,22,20,23,29,19,25,18,12,19,22,14,15,16,17,23,14,10,12,8,16,7,15,10,11,4,12,15,13,11,7,20,8,16,15,16,17,24,19,16,22,22,17,12,17,22,8,11,10,9,6,12,13,17,8,18,15,11,6,15,2,16,3,8,8,7,8,11,5,12,3,13,4,11,0,5,2,7,2,5,1,7,1,7,0,0,1,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸三丁目,2118,3865,1886,1979,11,16,20,12,18,15,12,11,15,23,16,18,10,15,12,14,16,17,18,9,19,19,20,7,25,20,10,9,15,17,14,13,10,16,15,8,15,6,17,13,24,19,26,19,26,31,30,29,20,31,37,31,23,30,29,22,26,29,20,32,30,22,25,27,27,23,30,22,25,34,30,28,19,21,31,27,25,22,22,37,27,26,25,19,29,25,30,28,29,40,25,32,36,29,36,34,30,33,27,31,24,26,32,41,30,31,25,19,32,35,26,25,15,21,28,20,30,27,30,20,19,20,13,19,26,17,19,23,28,18,19,17,16,16,16,24,17,18,13,19,20,17,16,13,23,24,17,19,20,18,24,29,14,15,19,30,12,22,15,19,14,26,15,16,13,16,13,15,8,11,11,16,8,18,8,17,7,15,8,10,6,5,1,11,3,8,3,4,2,9,1,1,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸四丁目,3060,5564,2717,2847,17,16,14,16,21,16,23,22,26,18,24,18,15,19,23,18,29,21,19,21,24,14,18,11,21,21,24,16,19,22,13,13,13,17,21,15,30,23,35,33,37,51,60,49,24,40,34,41,52,57,57,47,44,44,40,34,47,45,42,40,47,32,37,39,40,30,29,40,33,35,37,39,43,31,33,44,45,46,40,36,30,42,44,38,37,38,39,43,34,41,51,38,34,47,25,41,39,44,51,42,44,45,42,36,36,39,34,44,47,37,32,47,35,46,42,37,38,28,41,41,27,38,30,26,37,29,35,24,36,35,20,33,27,26,39,24,27,33,19,20,24,31,24,26,34,37,38,38,37,41,27,33,20,15,17,18,15,23,19,27,12,20,13,25,15,16,9,13,10,15,9,19,11,18,15,23,6,19,10,15,5,15,7,9,5,14,4,14,3,8,1,7,4,7,1,2,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
